text,clean_content,likes,replies,quotes,retweets,searchQuery,user_location,tanggal,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment
"Buat yang bertanya-tanya, kenapa sih Prabowo-Gibran akhir2 ini banyak diserang? Begini penjelasan sederhananya dari Bang Hasan Nasbi! Coba disimak!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #hasannasbi #microphonehasannasbi",tanya sih prabowo gibran akhir serang jelas sederhana bang hasan nasbi coba simak prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade hasannasbi microphonehasannasbi,13,4,1,9,#prabowo,"DKI Jakarta, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju,1,0,0,0,#indonesiamaju,"Kota Jambi, Jambi",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju,1,0,0,0,#indonesiamaju,"Kota Jambi, Jambi",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Keouasan Publik Pada Kinerja Pemerintah 75,5 Persen..

#Indonesia 
#indonesiamaju",keouasan publik kerja perintah persen indonesia indonesiamaju,1,0,0,0,#indonesiamaju,"Kota Jambi, Jambi",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"5. Ribuan Kepala Desa Se-Jatim Dukung Ganjar Pranowo sebagai Capres 2024 - International Media
internationalmedia.co.id/rib
#PrabowoGibran2024 #SayaBersamaJokowi",ribu kepala desa se jatim dukung ganjar pranowo capres international media internationalmedia co id rib prabowogibran sayabersamajokowi,0,0,0,0,#prabowogibran2024,Indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[(['international'], 0.0, 0.0, None)])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pendengaran bersamalah, mengapa lolos tes kesehatan di KPU ya?

.

#gibran #prabowo #anies  #dinastipolitikjokowi #jokowi #kamimuak #cawapresnboneka 

|| Iriana PrabwowoArogan RS Indonesia Hamas Rohingnya kapolri jelas2 netral Israhell masih pengin jakarta ||",dengar sama lolos tes sehat kpu ya gibran prabowo anies dinastipolitikjokowi jokowi kamimuak cawapresnboneka iriana prabwowoarogan rs indonesia hamas rohingnya kapolri jelas netral israhell pengin jakarta,12,6,0,13,#gibran,Indonesia,11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
GaS PoL #PrabowoGibran2024 menang 1 Putaran ???,gas pol prabowogibran menang putar,0,0,0,0,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Mantan militer yg berjiwa penyayang namun penuh prinsip. 

GaS #PrabowoGibran2024 ???",mantan militer yang jiwa sayang penuh prinsip gas prabowogibran,1,0,0,0,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Up up up #PrabowoGibran2024,up up up prabowogibran,1,0,0,0,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"4. Dukungan Kades ke Ganjar Berkedok Silaturahmi
koran.tempo.co/amp/nasional/
#PrabowoGibran2024 #SayaBersamaJokowi",dukung kades ganjar kedok silaturahmi koran tempo co amp nasional prabowogibran sayabersamajokowi,0,1,0,0,#prabowogibran2024,Indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"All In PRABOWO-GIBRAN
(Team DPC Partai GERINDRA Kab. Badung)

#prabowo #gibran #prabowogibran2024 #nomer?? #gerindra #bali #koalisindonesiamaju #menang1putaran #relawandegadjah #bigdaddy #degadjah #nodrama",all in prabowo gibran team dpc partai gerindra kab badung prabowo gibran prabowogibran nomer gerindra bal koalisindonesiamaju menang putaran relawandegadjah bigdaddy degadjah nodrama,0,0,0,0,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Direktur Eksekutif Indo Barometer M. Qodari nyatakan bahwa Prabowo-Gibran menang satu putaran bukan hal yang mustahil, ini alasannya!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #menangsatuputaran #indobarometer",direktur eksekutif indonesia barometer m qodari nyata prabowo gibran menang putar mustahil alas prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade bersamaindonesiamaju menangsatuputaran indobarometer,11,0,0,7,#gibran,"DKI Jakarta, Indonesia",11/22/2023,2023-11-22,Negative,"Sentiment(polarity=-0.4, subjectivity=1.0, assessments=[(['alas'], -0.4, 1.0, None)])",-0.4,1.0,-0.2732,0.091,0.909,0.0,Negative
"Bang Andre kasih paham nih buat yang berkoar-koar ada kecurangan!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #bawaslu #andrerosiade",bang andre kasih paham nih koar curang prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade bersamaindonesiamaju bawaslu andrerosiade,1,0,0,1,#gibran,"DKI Jakarta, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Pemerintah telah berhasil dengan kebijakan yang dibuat untuk memajukan indonesia #PembangunanUntukRakyat #IndonesiaMaju,perintah hasil bijak maju indonesia pembangunanuntukrakyat indonesiamaju,0,0,0,0,#indonesiamaju,indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Penutup malam, ""Katanya Semarang kandang Banteng tapi ternyata banyak lho yg pilih #PrabowoGibran2024 ""

Apapun Parpolnya #PrabowoGibran2024 pilihannya ??",tutup malam kata semarang kandang banteng lho yang pilih prabowogibran apa parpolnya prabowogibran pilih,117,83,6,29,#prabowogibran2024,,11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Setelah ini kita sholat hajat berjamaah, ya dik 

Semoga Allah menghalalkan ayah #Prabowo menjadi Presiden RI ke 08

Yakinlah, doa tulus kita dan kita kita lainnya mampu mengetuk pintu langit karena ini perjuangan suci ?

#PrabowoGibran2024 Menang 1 putaran ?",sholat hajat jamaah ya dik moga allah halal ayah prabowo presiden ri yakin doa tulus ketuk pintu langit juang suci prabowogibran menang putar,47,20,3,14,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,-0.5106,0.13,0.87,0.0,Negative
"Ganjar Udah duluan Ternyata Minggu, 16 Jul 2023 

Ganjar Berterima Kasih ke Kades se-Jatim: Elektabilitas Tinggi Sekali di Pilpres 2024 diklaim melejit.
shorturl.at/aeguT

#PrabowoGibran2024
#SayaBersamaJokowi
#PersatuanNasional",ganjar sudah duluan minggu jul ganjar terima kasih kades se jatim elektabilitas pilpres klaim lejit shorturl at aegut prabowogibran sayabersamajokowi persatuannasional,0,1,0,0,#prabowogibran2024,Indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Salam silaturahim kami sampaikan semoga bapak/ibu senantiasa dalam lindungan-Nya serta dilancarkan rezeki dan aktifitasnya 
2024?? COBLOS NOMER 4????

#Prabowo #gerindra #RudiHandoko #2024CoblosNomer4 #Dapil7 #Singojuruh #Sempu #Songgon",salam silaturahim moga bapak ibu senantiasa lindung lancar rezeki aktifitasnya coblos nomor prabowo gerindra rudihandoko coblosnomer dapil singojuruh sempu songgon,0,0,0,0,#prabowo,"Banyuwangi, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Udah duluan Ternyata Minggu, 16 Jul 2023 
Ganjar Berterima Kasih ke Kades se-Jatim: Elektabilitas Tinggi Sekali
google.com/amp/s/www.cnnindo
#PrabowoGibran2024 #Gemoy #PrabowoGemoy @ankandery_ @NyaiiBubu @AndreasSolusi @diva_yanda",sudah duluan minggu jul ganjar terima kasih kades se jatim elektabilitas google com amp s w cnnindo prabowogibran gemoy prabowogemoy ankandery nyaiibubu andreassolusi diva yanda,14,7,13,9,#prabowogibran2024,Indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Prabowo sadar bahwa Indonesia memiliki daya pikat yang memungkinkan kekuatan asing ingin menguasainya. Untuk itu Prabowo selalu dengan tegas menyatakan bahwa Indonesia harus berdikari.

Prabowo adalah jawaban untuk masa depan Indonesia.

#prabowo #dekade08",prabowo sadar indonesia milik daya pikat kuat asing kuasa prabowo indonesia berdikari prabowo indonesia prabowo dekade,5,1,0,1,#prabowo,"DKI Jakarta, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Pemerintah telah berhasil dengan kebijakan yang dibuat untuk memajukan indonesia #PembangunanUntukRakyat #IndonesiaMaju,perintah hasil bijak maju indonesia pembangunanuntukrakyat indonesiamaju,0,1,0,0,#indonesiamaju,indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,Home_is_where_da_heart_is,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,TENGGARONG,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Tingkat ketertarikan dan minat investor asing terhadap proyek IKN Nusantara masih tinggi.

#IKNNusantara #IKN #PembangunanIndonesia #IndonesiaMaju",tingkat tari minat investor asing proyek ikn nusantara tinggi iknnusantara ikn pembangunanindonesia indonesiamaju,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,TENGGARONG,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,TENGGARONG,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Tingkat ketertarikan dan minat investor asing terhadap proyek IKN Nusantara masih tinggi.

#IKNNusantara #IKN #PembangunanIndonesia #IndonesiaMaju",tingkat tari minat investor asing proyek ikn nusantara tinggi iknnusantara ikn pembangunanindonesia indonesiamaju,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Badan Pengawas Pemilu (Bawaslu) RI akan mengambil tindakan menyikapi munculnya iklan di stasiun televisi swasta yang memaparkan visi-misi capres-cawapres nomor urut 2, Prabowo-Gibran. < #Bawaslu #Prabowo #Gibran

nasional.kompas.com/read/202",badan awas milu bawaslu ri ambil tindak sikap muncul iklan stasiun televisi swasta papar visi misi capres cawapres nomor urut prabowo gibran bawaslu prabowo gibran nasional kompas com read,15,14,2,5,#gibran,Jakarta,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"klo kata orang: panglima itu bintang empat, tp istri panglima bintang lima. hehe.

#YTTA #irianajokowi #GibranRakabuming #gibran",kalau orang panglima bintang empat tetapi istri panglima bintang lima hehe ytta irianajokowi gibranrakabuming gibran,0,0,0,0,#gibran,Bandung,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Mari kita bersama-sama membangun Indonesia yang lebih sejahtera dan setara bagi semua, termasuk perempuan. 

Pak Prabowo percaya akan semakin banyak perempuan-perempuan hebat di masa depan!

#PrabowoSubianto 
#GibranRakabuming 
#PrabowoGibran2024",mari bangun indonesia sejahtera tara semua perempuan prabowo percaya perempuan hebat depan prabowosubianto gibranrakabuming prabowogibran,6,0,0,8,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,Home_is_where_da_heart_is,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri #IndonesiaMaju #jokowi,komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Ternyata bukan hanya GenZ dan yg dewasa saja, bocil-bocil asli juga terserang DEMAM #Prabowo #Gibran ??

Kalo gini caranya ya gak pake lama, 1 putaran cukup #PrabowoGibran2024 Menang ?",genz yang dewasa saja bocil bocil asli serang demam prabowo gibran kalau begini ya tidak pakai lama putar prabowogibran menang,109,42,4,45,#gibran,,11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri
#IndonesiaMaju #jokowi",komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri
#IndonesiaMaju #jokowi",komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,Home_is_where_da_heart_is,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri
#IndonesiaMaju #jokowi",komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"ada 300 komitmen investasi asing di IKN Presiden Jokowi prioritaskan dalam negeri
#IndonesiaMaju #jokowi",komitmen investasi asing ikn presiden jokowi prioritas negeri indonesiamaju jokowi,0,0,0,0,#indonesiamaju,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Betul sekali Mas @gibran_tweet , Pak Prabowolah yang membuka gerbang untuk anak muda agar tidak apatis terhadap politik, Jangan Golput karena Politik Kebencian!

#PrabowoGibran2024
#PilpresGembiraProGibs
Fitnah DijogetinGemoy Aja",mas gibran tweet prabowolah buka gerbang anak muda apatis politik golput politik benci prabowogibran pilpresgembiraprogibs fitnah dijogetingemoy saja,4,0,0,4,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pujian dari mas @gibran_tweet untuk pak @prabowo 

#prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik",puji mas gibran tweet prabowo prabowosubianto gibranrakabuming prabowopresiden prabowogibran indonesia indonesian viral fyp politik ganjarpranowo aniesbaswedan pinterpolitik,9,5,0,8,#prabowogibran2024,Indonesia Raya,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Bolonemase Seduluran Saklawase

Saksikan kemeriahannya

#relawangibran
#relawanbolonemase
#relawangibranrakabumingraka
#gibranrakabuming
#gibranindonesia
#PrabowoGibran2024
#Pilpres2024 
#TerimaKasihMasGibran
#IndonesiaJadiTuanRumahPildun
#PialaDuniaDiSolo",bolonemase dulur saklawase saksi riah relawangibran relawanbolonemase relawangibranrakabumingraka gibranrakabuming gibranindonesia prabowogibran pilpres terimakasihmasgibran indonesiajadituanrumahpildun pialaduniadisolo,0,0,0,0,#prabowogibran2024,,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Nurut kalian Pendukung Capres dengan Suporter Bola itu lebih galak siapa? 

#AniesMuhaimin2024 
#PrabowoGibran2024 
#GanjarMahfud2024",nurut dukung capres suporter bola galak siapa aniesmuhaimin prabowogibran ganjarmahfud,15,2,0,15,#prabowogibran2024,Chelsea elReal Juve,11/20/2023,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"3. Gibran soal Hadiri Silaturahmi Desa Bersatu: Saya Diundang, Kalau Ada Teguran Diterima
piped.video/u_kKDs-c1J8?feature
#PrabowoGibran2024 #SayaBersamaJokowi #PersatuanNasional",gibran hadir silaturahmi desa satu undang tegur terima piped video u kkds c j feature prabowogibran sayabersamajokowi persatuannasional,0,1,0,0,#prabowogibran2024,Indonesia,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Let's go fam 
for farming the coin  $srb 
more farm more returns
@StellarProgram 

Join
cosmicplan.pro/Star_aTIyMTEw

#srb 
#Asnawi 
#TimnasDay 
#SongHyeKyo 
#MASIHPAGI 
#Binance 
#Gaji 
#Gibran 
#Prabowo 
#Jokowi 
#Cryptocurency 
#CZ_Binance 
#Elonmusk 
#SpaceX 
#BLACKPINK",let s go fam untuk farming the coin srb more farm more returns stellarprogram join cosmicplan pro star atiymtew srb asnawi timnasday songhyekyo masihpagi binance gaji gibran prabowo jokowi cryptocurency cz binance elonmusk spacex blackpink,5,5,0,3,#gibran,,11/22/2023,2023-11-22,Positive,"Sentiment(polarity=0.5, subjectivity=0.5, assessments=[(['more'], 0.5, 0.5, None), (['more'], 0.5, 0.5, None)])",0.5,0.5,0.3535,0.0,0.932,0.068,Positive
"Selamat pagi tweeps awali pagi yang cerah ini dengan berdoa. Selamat beraktivitas, tetap semangat dan salam #IndonesiaRaya #Prabowo",selamat pagi tweeps awal pagi cerah doa selamat aktivitas semangat salam indonesiaraya prabowo,135,37,0,18,#prabowo,Indonesia Raya,11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,-0.5106,0.216,0.784,0.0,Negative
