word, value
membingungkan,-2
memboikot,-2
membosankan,-3
membuang,-1
membuang-buang,-2
membuat frustrasi,-2
membuat marah,-2
membungkam,-1
membunuh,-3
memburuk,-3
membutuhkan,-2
memecahkan,1
memekakkan telinga,-1
memenuhi,2
memfitnah,-2
memikat,3
memilukan,-3
meminta maaf,-1
memonopoli,-2
memotivasi,2
memperbudak,-2
memperburuk,-2
mempercantik,3
memperdaya,-2
memperingatkan,-2
memperkuat,2
memperluas,1
memperoleh,2
memperpanjang,1
mempertanyakan,-1
mempesona,3
memprihatinkan,-2
mempromosikan,1
memprotes,-2
memprovokasi,-1
memuja,3
memuji,3
memulihkan,1
memvalidasi,1
menahan,-2
menakjubkan,5
menakutkan,-3
menang,4
menangguhkan,-1
menangis,-2
menantang,-1
menarik,3
menawan,3
mencapai,2
mencegah,-1
mencela,-2
mencemari,-2
mencemooh,-2
mencengangkan,3
mencerahkan,2
mencuri,-2
mencurigakan,-2
mendamaikan,2
menderita,-3
mendesak,-1
mendistorsi,-2
mendorong,2
mendukung,2
mendung,-1
menegur,-2
menekankan,-2
menembak,-2
menenangkan,3
menentukan,1
menerima,1
meneror,-3
mengabaikan,-2
mengacau,-2
mengadopsi,1
mengagumi,3
mengakui,-1
mengalihkan perhatian,-2
mengamankan,2
mengancam,-2
menganiaya,-2
mengapur,-3
mengecewakan,-2
mengejek,-2
mengejutkan,-2
mengekspos,-1
mengeluh,-2
mengembang,1
mengerang,-2
mengerikan,-3
mengerutkan kening,-1
mengesankan,3
menggagalkan,-2
menggairahkan,3
mengganggu,-3
menggemaskan,3
menggembar-gemborkan,-2
menggembirakan,3
menggugat,-2
menghambat,-2
menghancurkan,-3
menghantui,-1
menghargai,2
mengherankan,2
menghibur,3
menghidupkan kembali,2
menghilang,-1
menghina,-2
menghindari,-2
menghormati,2
menghukum,-2
mengindoktrinasi,-2
menginspirasi,3
mengintai,-1
mengintimidasi,-2
mengkhawatirkan,-2
mengkhianati,-3
mengkritik,-2
mengolok-olok,-2
menguangkan,-2
menguat,2
mengundang,1
mengundurkan diri,-1
mengusir,-2
mengutuk,-2
menikmati,2
menindas,-2
meninggal,-3
meninggalkan,-2
meningkat,1
meningkatkan,2
menipu,-3
menipu diri sendiri,-2
menjadi korban,-3
menjelaskan,2
menjengkelkan,-2
menjijikkan,-3
menjual berlebihan,-2
menjulang,-1
menolak,-2
menonaktifkan,-1
menonjol,2
menuduh,-2
menular,-1
menunda,-1
menunggu,-1
menuntut,-1
menurun,-2
menutup-nutupi,-3
menyalahkan,-2
menyamar,-1
menyambut,2
menyangkal,-2
menyapa,1
menyebalkan,-3
menyedihkan,-3
menyela,-2
menyelamatkan,2
menyelesaikan,2
menyenangkan,4
menyerang,-1
menyeret,-1
menyesal,-2
menyesatkan,-3
menyetujui,2
menyiksa,-4
menyinggung,-2
menyusahkan,-2
meradang,-2
meragukan,-2
merajuk,-2
merampok,-2
merangsang,2
merayakan,3
merayu,3
merekomendasikan,2
meremehkan,-1
meremukkan,-1
merenung,-2
meriah,4
meringankan,1
merugikan,-2
merusak,-2
mesin cuci hijau,-3
metodis,2
meyakinkan,2
mimpi,1
minta maaf,-1
miskin,-2
mitos,-1
mogok,-1
motivasi,1
muak,-3
mudah,1
mudah tertipu,-2
muka sialan,-4
mulia,2
munafik,-2
mundur,-1
murah hati,2
murka,-3
murung,-2
musuh,-2
n00b,-2
naif,-2
naik kapal,1
negatif,-2
negro,-5
ngeri,-3
niggaz,-5
nikmat,2
nikmatilah,2
noda,-2
noob,-2
nyaman,2
oke,2
oksimoron,-1
omong kosong,-2
ompong,-2
optimis,2
optimisme,2
orang gila,-3
otoritas,1
padam,-1
padat,2
pahit,-2
pahlawan,2
paling gelap,-2
paling gila,-2
paling keras,-2
paling kotor,-2
paling licin,2
paling pintar,2
paling terang,2
palsu,-3
panik,-1
pantat,-4
paradoks,-1
parah,-2
parodi,-2
pasif,-1
patah hati,-3
payah,-3
payudara,-2
pecundang,-3
pedagang asongan,-2
peduli,2
pelacur,-5
pelaku,-2
pelanggaran,-3
pelari,-3
pelit,-2
peluang,2
pelukan,2
pelupa,-2
pemaaf,1
pemakaman,-1
pemalu,-1
pembatasan,-2
pembebasan,2
pembela,2
pembenci,-3
pemberani,2
pemberian,1
pemberontakan,-2
pembersih,2
pemblokiran,-1
pembohong,-3
pembunuh,-3
pembunuhan,-3
pemenang,4
pemerkosa,-4
pemerkosaan,-4
pemicu stres,-2
pemogokan,-2
pemotongan,-2
pemukulan,-1
penahanan,-2
penakut,-2
penalti,-2
penangkapan,-2
penarikan,-3
penasaran,1
pencatut,-2
pencemar,-2
pencuci hijau,-3
pencucian hijau,-3
penculikan,-2
pendendam,-2
penderitaan,-3
pendukung,1
pengangguran,-2
pengangkatan,2
pengecualian,-1
pengecut,-2
pengganggu,-2
penggusuran,-1
penghalang,-2
penghargaan,3
penghasut,-2
penghinaan,-3
pengirim spam,-3
pengkhianatan,-3
penglihatan,1
penguatan,2
pengunjuk rasa,-2
penindasan,-2
peningkatan,1
penipu,-4
penjahat,-3
penjangkauan,2
penjara,-2
penjual,-2
penjualan berlebihan,-2
penting,2
pentingnya,2
penuh gairah,2
penuh harapan,2
penuh kasih,2
penularan,-2
penundaan,-1
penuntutan,-1
penyakit,-2
penyalahgunaan,-3
penyamaran,-1
penyangkal,-2
penyayang,3
penyederhanaan berlebihan,-2
penyelamat,4
penyelamatan,2
penyelesaian,2
penyerbuan,-2
penyesalan,-2
penyiksaan,-4
penyitaan,-2
peperangan,-2
peralatan,-1
perampok,-2
perang,-2
perasaan,1
perbaikan,2
perbudakan,-3
percaya diri,2
percikan,1
perdamaian,2
pergi,-1
periang,2
peringatan,-2
perjuangan,-2
permata,1
permintaan,-1
permintaan maaf,-1
permusuhan,-2
pernyataan berlebihan,-2
perselisihan,-2
persetujuan,2
pertarungan,-1
pertempuran,-1
pertumbuhan,2
perundingan,-1
pesaing,-1
pesimis,-2
pesimisme,-2
pesona,3
petualang,2
petualangan,2
pintar,2
pistol,-1
populer,3
posesif,-2
positif,2
potong,-1
proaktif,2
propaganda,-2
prospek,1
protes,-2
puas,2
puas diri,-2
pujian,3
punggung,1
pusing,-2
putus asa,-3
putusan,-1
rabun dekat,-2
rabun jauh,-2
racun,-2
ragu,-1
ragu-ragu,-1
rahmat,1
rajin,2
ramah,3
ramah tamah,2
rasa bersalah,-3
rasa bosan,-2
rasa ingin tahu,2
rasa jijik,-3
rasis,-3
rasisme,-3
reaksi berlebihan,-2
rentan,-2
representasi yang salah,-2
reruntuhan,-2
resesi,-2
responsif,2
riang,2
rindu,-2
rindu kampung halaman,-2
ringan,2
ringan hati,1
risiko,-2
riuh,-1
robek,-2
roflcopter,4
roflmao,4
rolf,4
romansa,2
rotflmfao,4
rotflol,4
ruam,-2
rumit,2
runtuh,-2
rusak,-1
sabotase,-2
sah,1
saham,1
sakit,-1
sakit hati,-2
salah,-2
salah informasi,-2
salah melaporkan,-2
salah membaca,-1
salah paham,-2
salam,2
sampah,-1
sangat,-3
sangat gembira,4
santai,2
sapuan hijau,-3
saraf,-1
sarkastik,-2
sayang,3
sayang sekali,3
sayangnya,-1
secara ajaib,3
secara efektif,2
secara hukum,1
secara ketat,3
secara pasif,-1
secara substansial,1
secara tidak sengaja,-2
sederhana,-2
sedih,-3
segar,1
sehat,2
sejahtera,3
sekali seumur hidup,3
seksi,3
selamat,3
selamat datang,2
semacam,0
semangat,1
sembrono,-2
sembunyikan,-1
semoga,2
sempurna,3
senang,5
sendirian,-2
sendok,3
sengit,-3
sensor,-2
sepenuh hati,3
seperti,2
serakah,-2
serangan,-1
serius,1
setia,3
setuju,1
sial,-4
sialan,-4
siap,1
sia-sia,2
sigap,2
signifikan,1
signifikansi,1
simpan,2
simpati,2
simpatik,2
sinar matahari,2
sinis,-2
sinisme,-2
sisi negatifnya,-2
skandal,-3
skeptis,-2
skeptisisme,-2
solidaritas,2
solusi,1
sombong,-2
sopan,2
sopan santun,2
sorot,2
spam,-2
spekulatif,-2
stabil,2
stereotip,-2
stresor,-2
striker,-2
suap,-3
substansial,1
subversif,-2
suka,2
sukses,3
sulit,-1
sulit tidur,-2
sumpah palsu,-3
sungguh-sungguh,2
suram,-2
surga,3
surgawi,4
tabah,2
tabrakan,-2
tahanan,-2
tajam,-3
tak berdaya,-2
tak berguna,-2
tak kenal takut,2
tak terhentikan,2
tak terkalahkan,2
tak tertahankan,2
tak tertandingi,1
takjub,2
takut,-2
tanda bahaya,-2
tanpa beban,1
tanpa henti,-1
tanpa jaminan,-2
tanpa kegembiraan,-2
tanpa pesona,-3
tanpa pilihan,-2
tantangan,-1
tarik,-1
tawar-menawar,2
tegang,-2
tegas,2
tekanan,-1
tembak,-1
tempat pembuangan sampah,-1
tenang,2
tenggelam,-2
tepuk tangan,2
terancam,-2
terbaik,3
terbatas,-1
terbebani,-2
terbelakang,-2
terbesar,3
terbuang,-2
terbuka,-1
terbukti benar,2
terbunuh,-3
terburuk,-3
tercapai,2
tercekik,-2
tercemar,-2
tercengang,2
tercinta,3
terdakwa,-2
terdegradasi,-2
terdistorsi,-2
terendah,-1
terganggu,-2
tergelincir,-2
tergesa-gesa,-2
tergila-gila,2
tergoda,-1
terhenti,-2
terhina,-1
terhormat,2
teriak,-2
teriakan,-2
terikat,1
terima kasih,2
terinfeksi,-2
terinspirasi,2
terintimidasi,-2
terisolasi,-1
terjebak,-2
terkejut,3
terkenal,-2
terkesan,3
terkuat,2
terkuras,-2
terkutuk,-4
terlalu besar,3
terlalu disederhanakan,-2
terlalu menyederhanakan,-2
terlambat,-2
terlibat,1
terluka,-2
termenung,-1
termiskin,-2
termotivasi,2
terobosan,3
terobsesi,2
teror,-3
terpaksa,1
terpecahkan,1
terpengaruh,-1
terpenuhi,2
terpercaya,2
terpesona,3
terpisah,-1
terpojok,-2
terpotong,-2
terprovokasi,-1
terputus,-2
terputus-putus,-2
tersangka,-1
tersedak,-2
terselesaikan,2
tersenyum,2
terserang,-2
tersinggung,-2
tertahan,-1
tertarik,2
tertawa,1
tertegun,-2
tertekan,-2
tertentu,1
tertindas,-2
tertinggal,-2
tertipu,-3
tertunda,-1
tiada bandingnya,2
tidak,-1
tidak ada artinya,-2
tidak adil,-2
tidak aman,-2
tidak bagus,-2
tidak bahagia,-2
tidak berdaya,-2
tidak berfungsi,-3
tidak berguna,-2
tidak berharga,-2
tidak bersemangat,-2
tidak bertanggung jawab,2
tidak bisa bergerak,-1
tidak bisa dicintai,-2
tidak bisa dihancurkan,2
tidak cerdas,-2
tidak dapat diterima,-2
tidak dapat diubah,-1
tidak dicintai,-2
tidak didukung,-2
tidak dihargai,-2
tidak dihormati,-2
tidak diinginkan,-2
tidak dikreditkan,-1
tidak disetujui,-2
tidak efektif,-2
tidak etis,-2
tidak fokus,-2
tidak hormat,-2
tidak jelas,-2
tidak jujur,-2
tidak kompeten,-2
tidak layak,-2
tidak mampu,-2
tidak manusiawi,-2
tidak memadai,-2
tidak memihak,2
tidak mengerti,-2
tidak menyenangkan,-3
tidak nyaman,-2
tidak pasti,-2
tidak peduli,-2
tidak pengertian,-2
tidak percaya,-3
tidak profesional,-2
tidak puas,-2
tidak rasional,-1
tidak sabar,-2
tidak sadar,-2
tidak sehat,-2
tidak sempurna,-2
tidak senang,-2
tidak sensitif,-2
tidak setara,-1
tidak signifikan,-2
tidak stabil,-2
tidak suka,-2
tidak tahan,-3
tidak terkesan,-2
tidak termotivasi,-2
tidak ternoda,2
tidak terorganisir,-2
tidak terpenuhi,-2
tidak yakin,-1
timpang,-2
tipu daya,-2
tipuan,-2
toleran,2
tolong,1
total,-2
totalitarianisme,-2
totaliter,-2
tragedi,-2
tragis,-2
trauma,-3
traumatis,-3
tuduhan,-2
Tuhan,1
tulus,2
tumbukan,-2
tumor,-2
tumpukan,-1
tunda,-1
tunggu,-1
tuntutan,-1
tuntutan hukum,-2
tusukan,-5
unggul,2
untungnya,3
usang,-2
usil,-2
utuh,2
visi,1
visioner,3
vitalitas,3
vitamin,1
wah,4
wajib,-1
waspada,3
was-was,-2
woohoo,3
wooo,4
wow,4
woww,4
ya,2
yakin,1
Yesus,1
abadi,2
abai,-2
absen,-1
abu,-1
acuh tak acuh,-2
adil,2
agresi,-2
agresif,-2
agung,3
aib,-2
air mata,-2
ajaib,3
aktif,1
aku,-1
alami,1
alat tenun,-1
alergi,-2
aman,2
ambisius,2
ambivalen,-1
ancam,-2
andal,2
aneh,1
aneh,-1
antagonis,-2
anti,-1
antisipasi,1
antusias,3
anugerah,4
apatis,-3
api,-2
apokaliptik,-2
apresiasi,2
arah yang benar,3
aset,2
asyik,1
atas,2
atas,2
atraksi,2
awet muda,2
ayam,-5
bagaimana,-4
bagus,3
bahagia,3
bahaya,-2
baik hati,2
baik,2
bajing,-4
balas dendam,-2
banci,-3
bangga,2
bangkrut,-3
bankir,-3
bantu,2
barang keren,3
baru,2
batal,-1
batas,-1
batas,-1
batas,-2
bayar,-1
beban,-2
bek,2
belas kasihan,2
belum konfirmasi,-1
belum teliti,-2
benar,2
bencana,-3
benci,-3
bentrok,-2
berani,3
beranta,-2
berat hati,-2
bagi,1
bahaya,-2
bakti,3
bohong,-2
budi luhur,2
damai,2
darah,-3
dedikasi,2
doa,1
dosa,-3
duka,-2
dur,-2
reaksi lebih,-2
gabung,1
gantung,2
guna,2
hak,1
hantu,-2
harap,2
hasil,2
henti,-1
inovasi,1
berisik,-1
juang,-2
jubah,-2
berkah,3
kelas,3
kembang,1
kilau,3
kolusi,-3
komitmen,1
lebih,-2
berlian,1
makna,2
manfaat,2
masalah,-2
musuh,-2
nila,2
dapat,-1
pengaruh,2
perilaku buruk,-2
pikir tunggal,-2
pura,-1
saing,-1
salah,-3
satu,1
selisih,-2
semangat,4
sembunyi,-1
bersih,2
sorak,2
sukacita,4
sumpah,-2
syukur,3
tabrak,-1
tahan hidup,2
tanggung jawab,2
tentang,-2
tepuk tangan,2
teriak,-2
untung,3
besar,1
bias,-2
biasa saja,-3
biaya,-2
bijaksana,2
bimbang,-1
bingung,-2
bla,-2
blockbuster,3
blok,-1
bocor,-1
bodoh,-2
bodoh,-2
boikot,-2
bom,-1
bosan,-2
brengsek,-3
brilian,4
buang,-1
bunga,1
bunuh,-3
bunuh diri,-2
buram,-2
buruk,-3
busuk,4
buta,-1
buta huruf,-2
cabul,-2
cacat,-3
calo,-2
canggih,2
canggung,-2
cantik,3
cedera,-2
celaka,-2
cemas,-2
cemberut,-2
cemburu,-2
cemooh,-2
cengeng,-1
cepat,2
cerah,1
cerdas,2
cerdik,-2
ceria,3
ceroboh,-2
cibir,-2
cinta,3
cium,2
cocok,1
cuci otak,-3
cuci hijau,-3
curang,-3
curiga,-1
damai,2
dana talang,-2
dapat capai,1
dapat hibur,2
dapat rebut,-2
darurat,-2
daya tahan,2
debonair,2
defisit,-2
demonstrasi,-1
demoralisasi,-2
dendam,-2
dengan aman,1
dengan bangga,2
dengan berani,2
dengan cepat,2
dengan damai,2
dengan elegan,2
dengan gagah,3
dengan gembira,3
dengan gugup,-2
dengan pahit,-2
dengan tulus,2
destruktif,-3
dewasa,2
abai,-2
aman,2
ampun,2
angkat,2
aniaya,-2
bagi,1
batal,-1
batas,-2
beban,-3
bebas,2
bebas dari tuduh,2
benar,2
benci,-3
beri,3
bersih,1
blokir,-1
boikot,-2
buang,-2
buat,-1
cegah,-1
cinta,3
culik,-2
curang,-1
curi,-2
diskon,-1
diskredit,-2
diskualifikasi,-2
dorong,2
duga,-1
dukung,2
ejek,-2
eksploitasi,-2
gagal,-2
harga,2
hina,-2
hindar,-1
hormat,2
hukum,-2
indoktrinasi,-2
ingin,2
interogasi,-2
intimidasi,-2
janji,1
kagum,3
kalah,-2
kecuali,-2
kena,-1
khianat,-3
kritik,-2
kutuk,-2
langgar,-2
larang,-2
dilema,-1
lenyap,-2
lindung,1
luncur,1
manipulasi,-1
monopoli,-2
dingin,-1
paksa,-2
palsu,-3
pecat,-2
penjara,-2
budak,-2
buruk,-2
percaya,2
daya,-2
ingat,-2
malu,-3
oleh,2
tahan,-1
tanya,-2
potong,-1
promosi,1
puja,3
puji,3
pukul,-2
pulih,1
ragu,-1
ratifikasi,2
raya,3
rekomendasi,2
remeh,-2
retas,-1
rugi,-2
rusak,-2
sah,2
disalahartikan,-2
disalahgunakan,-3
salah,-2
sayang,2
sebut,-2
selamat,2
sembah,3
sempurna,2
sengketa,-2
sensor,-2
serang,-1
serap,1
seret,-1
tuju,2
disfungsi,-2
siksa,-4
simpan,2
