tanggal,text,clean_content,filtering,clean_content_filter
10/24/2023,"Bakal calon presiden dan wakil presiden Koalisi Perubahan Anies Baswedan dan Muhaimin Iskandar (AMIN) menjanjikan adanya cuti melahirkan untuk seorang ayah. < #Anies #CakImin #Pemilu2024KCM #JernihMemilih

nasional.kompas.com/read/202?",bakal calon presiden dan wakil presiden koalisi ubah anies baswedan dan muhaimin iskandar amin janji ada cuti lahir untuk orang ayah anies cakimin pemilu2024kcm jernihmemilih nasional kompas com read 202,"bakal calon presiden dan wakil presiden koalisi perubahan anies baswedan dan muhaimin iskandar amin menjanjikan adanya cuti melahirkan untuk seorang ayah kcm 

nasional kompas com read",bakal calon presiden dan wakil presiden koalisi ubah anies baswedan dan muhaimin iskandar amin janji ada cuti lahir untuk orang ayah kcm nasional kompas com read
11/6/2023,"Kaos Vintage Anies Baswedan perubahan
Only 99k
shopee.co.id/T-shirt-Anies-B?

#AMINkanIndonesia #Aminajadulu #AnisMuhaimin2024 #AnisMuhaimin #Pkb #Nasdem #Pks #cakimin #Muhaiminiskandar",kaos vintage anies baswedan ubah only 99k shopee co id t-shirt-anies-b aminkanindonesia aminajadulu anismuhaimin2024 anismuhaimin pkb nasdem pks cakimin muhaiminiskandar,"kaos vintage anies baswedan perubahan
only k
shopee co id t shirt anies b 

",kaos vintage anies baswedan ubah only k shopee co id t shirt anies b
11/6/2023,"Gus Choi menyebutkan Surya Paloh yakin pasangan duet Koalisi Perubahan ini lanjut pada putaran kedua dan memenangkan Pilpres mendatang.
 ~J #AniesImin #SuryaPaloh #AniesBaswedan #CakImin #JernihkanHarapan",gus choi sebut surya paloh yakin pasang duet koalisi ubah ini lanjut pada putar dua dan menang pilpres datang j aniesimin suryapaloh aniesbaswedan cakimin jernihkanharapan,"gus choi menyebutkan surya paloh yakin pasangan duet koalisi perubahan ini lanjut pada putaran kedua dan memenangkan pilpres mendatang 
 j",gus choi sebut surya paloh yakin pasang duet koalisi ubah ini lanjut pada putar dua dan menang pilpres datang j
11/6/2023,"Muhaimin Iskandar Kunjungi Kantor Pusat MTA di Solo 
#CakImin #MuhaiminIskandar #MajelisTafsirAlquran #MTASolo 
republika.co.id/r/s3ocwm291",muhaimin iskandar kunjung kantor pusat mta di solo cakimin muhaiminiskandar majelistafsiralquran mtasolo republika co id r s3ocwm291,"muhaimin iskandar kunjungi kantor pusat mta di solo 
 
republika co id r s ocwm",muhaimin iskandar kunjung kantor pusat mta di solo republika co id r s ocwm
11/7/2023,"Gaspoll maju terus Pak Ganjar-Mahfud, buat inspirasi agar anak muda diseluruh Indonesia untuk bisa berkarya pakk",gaspoll maju terus pak ganjar-mahfud buat inspirasi agar anak muda seluruh indonesia untuk bisa karya pakk,gaspoll maju terus pak ganjar mahfud buat inspirasi agar anak muda diseluruh indonesia untuk bisa berkarya pakk,gaspoll maju terus pak ganjar mahfud buat inspirasi agar anak muda seluruh indonesia untuk bisa karya pakk
11/6/2023,"Belum jadi aja janji udah di revisi apalagi kalau...

#politik #politikindonesia #politiksatire #politikhumor #politiktoday #politikonoha
#cakimin #deddycorbuzier #aniesbaswedan #closethedoor #janjikampanyecakimin #capres2024 #pilpres2024 #cawapres2024 #PKB #nasdem",belum jadi aja janji udah di revisi apalagi kalau politik politikindonesia politiksatire politikhumor politiktoday politikonoha cakimin deddycorbuzier aniesbaswedan closethedoor janjikampanyecakimin capres2024 pilpres2024 cawapres2024 pkb nasdem,"belum jadi aja janji udah di revisi apalagi kalau 

 
",belum jadi aja janji udah di revisi apalagi kalau
11/7/2023,"Para Kiai Se-Jabar Menilai Ganjar-Mahfud sebagai pasangan yang tegas dan berpengalaman.

MKMK Fuji Scarlett Siang Ange Kevin Anwar Usman Peach",para kiai se-jabar nilai ganjar-mahfud bagai pasang yang tegas dan alam mkmk fuji scarlett siang ange kevin anwar usman peach,"para kiai se jabar menilai ganjar mahfud sebagai pasangan yang tegas dan berpengalaman 

mkmk fuji scarlett siang ange kevin anwar usman peach",para kiai se jabar nilai ganjar mahfud bagai pasang yang tegas dan alam mkmk fuji scarlett siang ange kevin anwar usman peach
11/7/2023,"Semalam GOLKAR gelar resepsi syukuran HUT ke-59 di pelataran Kantor DPP Golkar-Slipi. Presiden Jokowi-Capres Prabowo Subijanto turut hadir. Kartu Tanda Anggota PG sudah disiapkan utk Gibran, Namun dia tidak datang. Tiket Gratis dari Golkar sdh diberikan tanpa jerih payahnya.",malam golkar gelar resepsi syukur hut ke-59 di latar kantor dpp golkar-slipi presiden jokowi-capres prabowo subijanto turut hadir kartu tanda anggota pg sudah siap utk gibran namun dia tidak datang tiket gratis dari golkar sdh beri tanpa jerih payah,semalam golkar gelar resepsi syukuran hut ke di pelataran kantor dpp golkar slipi presiden jokowi capres prabowo subijanto turut hadir kartu tanda anggota pg sudah disiapkan utk gibran namun dia tidak datang tiket gratis dari golkar sdh diberikan tanpa jerih payahnya,malam golkar gelar resepsi syukur hut ke di latar kantor dpp golkar slip presiden jokowi capres prabowo subijanto turut hadir kartu tanda anggota pg sudah siap utk gibran namun dia tidak datang tiket gratis dari golkar sdh beri tanpa jerih payah
11/7/2023,"Dukungan untuk Ganjar Pranowo dan Mahfud MD

#GanjarPranowo #MahfudMD #GanjarMahfud2024",dukung untuk ganjar pranowo dan mahfud md ganjarpranowo mahfudmd ganjarmahfud2024,"dukungan untuk ganjar pranowo dan mahfud md

",dukung untuk ganjar pranowo dan mahfud md
11/7/2023,"Ganjar Pranowo adalah pilihan tepat untuk memimpin bangsa Indonesia
#GanjarCapres #GanjarPresiden2024 #GanjarPranowo #Ganjar #Mahfud #MahfudMD #GanjarMahfud #sahabatganjar #relawanganjar #jawatengah #jateng",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia ganjarcapres ganjarpresiden2024 ganjarpranowo ganjar mahfud mahfudmd ganjarmahfud sahabatganjar relawanganjar jawatengah jateng,"ganjar pranowo adalah pilihan tepat untuk memimpin bangsa indonesia
",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia
11/7/2023,"Beuh mantap Gus, langsung paham

 #Muhaimin #AniesMuhaimin2024 #Anies #Amin",beuh mantap gus langsung paham muhaimin aniesmuhaimin2024 anies amin,"beuh mantap gus langsung paham

",beuh mantap gus langsung paham
11/7/2023,"Bagaimana mau menghasilkan Demokrasi yang berkualitas Pak Jokowi?!

Baliho bungsu bapak baru ditanyain beginian saja sudah mulai ada mengintimidasi..

Baliho Ganjar Mahfud dan bendera PDI Perjuangan dicopot supaya bapak nyaman, kita ga bisa protes apa-apa..

Jangan di depan lain, di belakang lain dong..",bagaimana mau hasil demokrasi yang kualitas pak jokowi baliho bungsu bapak baru ditanyain begini saja sudah mulai ada intimidasi baliho ganjar mahfud dan bendera pdi juang copot supaya bapak nyaman kita ga bisa protes apa jangan di depan lain di belakang lain dong,"bagaimana mau menghasilkan demokrasi yang berkualitas pak jokowi 

baliho bungsu bapak baru ditanyain beginian saja sudah mulai ada mengintimidasi 

baliho ganjar mahfud dan bendera pdi perjuangan dicopot supaya bapak nyaman kita ga bisa protes apa apa 

jangan di depan lain di belakang lain dong",bagaimana mau hasil demokrasi yang kualitas pak jokowi baliho bungsu bapak baru ditanyain begini saja sudah mulai ada intimidasi baliho ganjar mahfud dan bendera pdi juang copot supaya bapak nyaman kita ga bisa protes apa apa jangan di depan lain di belakang lain dong
11/7/2023,Mandi kembang dahulu Cakimin !!!!,mandi kembang dahulu cakimin,mandi kembang dahulu cakimin,mandi kembang dahulu cakimin
11/7/2023,"Ganjar Pranowo adalah pilihan tepat untuk memimpin bangsa Indonesia
#GanjarCapres #GanjarPresiden2024 #GanjarPranowo #Ganjar #Mahfud #MahfudMD #GanjarMahfud #sahabatganjar #relawanganjar #jawatengah #jateng",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia ganjarcapres ganjarpresiden2024 ganjarpranowo ganjar mahfud mahfudmd ganjarmahfud sahabatganjar relawanganjar jawatengah jateng,"ganjar pranowo adalah pilihan tepat untuk memimpin bangsa indonesia
",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia
11/7/2023,"Ganjar Pranowo adalah pilihan tepat untuk memimpin bangsa Indonesia
#GanjarCapres #GanjarPresiden2024 #GanjarPranowo #Ganjar #Mahfud #MahfudMD #GanjarMahfud #sahabatganjar #relawanganjar #jawatengah #jateng",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia ganjarcapres ganjarpresiden2024 ganjarpranowo ganjar mahfud mahfudmd ganjarmahfud sahabatganjar relawanganjar jawatengah jateng,"ganjar pranowo adalah pilihan tepat untuk memimpin bangsa indonesia
",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia
11/7/2023,"Dukungan untuk Ganjar Pranowo dan Mahfud MD

#GanjarPranowo #MahfudMD #GanjarMahfud2024",dukung untuk ganjar pranowo dan mahfud md ganjarpranowo mahfudmd ganjarmahfud2024,"dukungan untuk ganjar pranowo dan mahfud md

",dukung untuk ganjar pranowo dan mahfud md
11/7/2023,"kalo begini terus, saya ucapkan selamat kepda Anies - Cakimin",kalo begini terus saya ucap selamat kepda anies - cakimin,kalo begini terus saya ucapkan selamat kepda anies cakimin,kalo begini terus saya ucap selamat kepda anies cakimin
11/6/2023,".
Diapun langsung Terdiam.
-
Masalahnya gak Sesederhana itu kak @adearmando61.
Kita-kita yg masih waras gak mempermasalahkan Pasangan GIBRAN & PRABOWO.

Ini masalah Pondasi kita dalam Berdemokrasi yang dirusak hanya untuk ""Anak Kepala Negara""

Yang kita Permasalahkan Prosesnya.",dia langsung diam - masalah gak sederhana itu kak adearmando61 kita yg masih waras gak masalah pasang gibran prabowo ini masalah pondasi kita dalam demokrasi yang rusak hanya untuk anak kepala negara yang kita masalah proses,"
diapun langsung terdiam 
 
masalahnya gak sesederhana itu kak 
kita kita yg masih waras gak mempermasalahkan pasangan gibran prabowo 

ini masalah pondasi kita dalam berdemokrasi yang dirusak hanya untuk anak kepala negara 

yang kita permasalahkan prosesnya",dia langsung diam masalah gak sederhana itu kak kita kita yg masih waras gak masalah pasang gibran prabowo ini masalah pondasi kita dalam demokrasi yang rusak hanya untuk anak kepala negara yang kita masalah proses
11/7/2023,"Dukungan untuk Ganjar Pranowo dan Mahfud MD

#GanjarPranowo #MahfudMD #GanjarMahfud2024",dukung untuk ganjar pranowo dan mahfud md ganjarpranowo mahfudmd ganjarmahfud2024,"dukungan untuk ganjar pranowo dan mahfud md

",dukung untuk ganjar pranowo dan mahfud md
11/6/2023,"Struktur lengkap Tim Kampanye Nasional (TKN) Prabowo Subianto - Gibran Rakabuming Raka hari ini diumumkan di Kemang, Jakarta Selatan.

PSI mengutus sejumlah kader terbaiknya untuk masuk ke dalam TKN. Nama-nama yang tergabung adalah; 

Big Bro Jeffrie Geovanie - Anggota Dewan Pembina TKN

Mas Ketum Kaesang Pangarep - Wakil Ketua Dewan Pengarah TKN

Gus Dhohir Farisi - Anggota Dewan Penasehat TKN 
Bro Giring Ganesha - Anggota Dewan Penasehat TKN
Sis Irma Hutabarat - Anggota Dewan Penasehat TKN 

Sis Grace Natalie - Wakil Ketua TKN Koordinator Strategis 
Bro Raja Juli Antoni - Wakil Ketua Koordinator Strategis 

Bro Helmy Yahya - Anggota Dewan Pakar TKN
Bro Totok Lusida - Anggota Dewan Pakar TKN

Sis Fenty Noverita - Wakil Bendahara TKN
Sis Keke Parawansa - Wakil Sekretaris TKN 
Bro Satia Chandra Wiguna - Wakil Komandan Teritorial TKN
Sis Cheryl Tanzil - Wakil Komandan Komunikasi TKN
Bro Dedek Prayudi - Wakil Komandan Pemilih Muda TKN
Sis Francine Widjojo - Wakil Komandan Hukum dan Advokasi TKN 

Selamat bertugas untuk para utusan!  Yakin menang pasti menang",struktur lengkap tim kampanye nasional tkn prabowo subianto - gibran rakabuming raka hari ini umum di kemang jakarta selatan psi utus jumlah kader baik untuk masuk ke dalam tkn nama yang gabung adalah big bro jeffrie geovanie - anggota dewan bina tkn mas tum kaesang pangarep - wakil ketua dewan arah tkn gus dhohir farisi - anggota dewan nasehat tkn bro giring ganesha - anggota dewan nasehat tkn sis irma hutabarat - anggota dewan nasehat tkn sis grace natalie - wakil ketua tkn koordinator strategis bro raja juli antoni - wakil ketua koordinator strategis bro helmy yahya - anggota dewan pakar tkn bro totok lusida - anggota dewan pakar tkn sis fenty noverita - wakil bendahara tkn sis keke parawansa - wakil sekretaris tkn bro satia chandra wiguna - wakil komandan teritorial tkn sis cheryl tanzil - wakil komandan komunikasi tkn bro dedek prayudi - wakil komandan pilih muda tkn sis francine widjojo - wakil komandan hukum dan advokasi tkn selamat tugas untuk para utus yakin menang pasti menang,"struktur lengkap tim kampanye nasional tkn prabowo subianto gibran rakabuming raka hari ini diumumkan di kemang jakarta selatan 

psi mengutus sejumlah kader terbaiknya untuk masuk ke dalam tkn nama nama yang tergabung adalah 

big bro jeffrie geovanie anggota dewan pembina tkn

mas ketum kaesang pangarep wakil ketua dewan pengarah tkn

gus dhohir farisi anggota dewan penasehat tkn 
bro giring ganesha anggota dewan penasehat tkn
sis irma hutabarat anggota dewan penasehat tkn 

sis grace natalie wakil ketua tkn koordinator strategis 
bro raja juli antoni wakil ketua koordinator strategis 

bro helmy yahya anggota dewan pakar tkn
bro totok lusida anggota dewan pakar tkn

sis fenty noverita wakil bendahara tkn
sis keke parawansa wakil sekretaris tkn 
bro satia chandra wiguna wakil komandan teritorial tkn
sis cheryl tanzil wakil komandan komunikasi tkn
bro dedek prayudi wakil komandan pemilih muda tkn
sis francine widjojo wakil komandan hukum dan advokasi tkn 

selamat bertugas untuk para utusan yakin menang pasti menang",struktur lengkap tim kampanye nasional tkn prabowo subianto gibran rakabuming raka hari ini umum di kemang jakarta selatan psi utus jumlah kader baik untuk masuk ke dalam tkn nama nama yang gabung adalah big bro jeffrie geovanie anggota dewan bina tkn mas tum kaesang pangarep wakil ketua dewan arah tkn gus dhohir farisi anggota dewan nasehat tkn bro giring ganesha anggota dewan nasehat tkn sis irma hutabarat anggota dewan nasehat tkn sis grace natalie wakil ketua tkn koordinator strategis bro raja juli antoni wakil ketua koordinator strategis bro helmy yahya anggota dewan pakar tkn bro totok lusida anggota dewan pakar tkn sis fenty noverita wakil bendahara tkn sis keke parawansa wakil sekretaris tkn bro satia chandra wiguna wakil komandan teritorial tkn sis cheryl tanzil wakil komandan komunikasi tkn bro dedek prayudi wakil komandan pilih muda tkn sis francine widjojo wakil komandan hukum dan advokasi tkn selamat tugas untuk para utus yakin menang pasti menang
11/7/2023,"Jasa Fotografer video acara kedukaan, pemakaman, kremasi, jakarta dan sekitarnya.
 WA : 0878 2240 1343

#jakartautara #rumahdukajakarta #infojabodetabek #bintaro #katholik #sunter #bsd #gibran #mahfud #tokopedia #pemilu #kpu #pondokindah #jaksel #bungaduka #acara Rest In Peace",jasa fotografer video acara duka makam kremasi jakarta dan sekitar wa 0878 2240 1343 jakartautara rumahdukajakarta infojabodetabek bintaro katholik sunter bsd gibran mahfud tokopedia milu kpu pondokindah jaksel bungaduka acara rest in peace,"jasa fotografer video acara kedukaan pemakaman kremasi jakarta dan sekitarnya 
 wa 

 rest in peace",jasa fotografer video acara duka makam kremasi jakarta dan sekitar wa rest in peace
11/7/2023,"Ganjar Pranowo adalah pilihan tepat untuk memimpin bangsa Indonesia
#GanjarCapres #GanjarPresiden2024 #GanjarPranowo #Ganjar #Mahfud #MahfudMD #GanjarMahfud #sahabatganjar #relawanganjar #jawatengah #jateng",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia ganjarcapres ganjarpresiden2024 ganjarpranowo ganjar mahfud mahfudmd ganjarmahfud sahabatganjar relawanganjar jawatengah jateng,"ganjar pranowo adalah pilihan tepat untuk memimpin bangsa indonesia
",ganjar pranowo adalah pilih tepat untuk pimpin bangsa indonesia
11/7/2023,"Dukungan untuk Ganjar Pranowo dan Mahfud MD

#GanjarPranowo #MahfudMD #GanjarMahfud2024",dukung untuk ganjar pranowo dan mahfud md ganjarpranowo mahfudmd ganjarmahfud2024,"dukungan untuk ganjar pranowo dan mahfud md

",dukung untuk ganjar pranowo dan mahfud md
11/7/2023,"Timses apaan,anda salah lho dok,,,dia cuman simpatisan bukan timses,timses dibentuk oleh prabowo,klo simpatisan kbanyakan sukarela aja,,,dan ini udh kebongkar aslinya permainan kubu lawan,biar abu tai ini dukung prabowo",timses apa anda salah lho dok dia cuman simpatisan bukan timses timses bentuk oleh prabowo klo simpatisan kbanyakan sukarela aja dan ini udh bongkar asli main kubu lawan biar abu tai ini dukung prabowo,timses apaan anda salah lho dok dia cuman simpatisan bukan timses timses dibentuk oleh prabowo klo simpatisan kbanyakan sukarela aja dan ini udh kebongkar aslinya permainan kubu lawan biar abu tai ini dukung prabowo,timses apa anda salah lho dok dia cuman simpatisan bukan timses timses bentuk oleh prabowo klo simpatisan kbanyakan sukarela aja dan ini udh bongkar asli main kubu lawan biar abu tai ini dukung prabowo
11/7/2023,"Tak Hanya Gibran, Tingkah Bobby Nasution Juga Jadi Perbincangan se-Nasional oposisicerdas.com/2023/11/ta?",tak hanya gibran tingkah bobby nasution juga jadi bincang se-nasional oposisicerdas com 2023 11 ta,tak hanya gibran tingkah bobby nasution juga jadi perbincangan se nasional oposisicerdas com ta,tak hanya gibran tingkah bobby nasution juga jadi bincang se nasional oposisicerdas com ta
11/7/2023,"Dukungan untuk Ganjar Pranowo dan Mahfud MD

#GanjarPranowo #MahfudMD #GanjarMahfud2024",dukung untuk ganjar pranowo dan mahfud md ganjarpranowo mahfudmd ganjarmahfud2024,"dukungan untuk ganjar pranowo dan mahfud md

",dukung untuk ganjar pranowo dan mahfud md
11/7/2023,"Menurut survei dari Charta Politika, periode 26-31 Oktober, Gibran tak pantas jadi cawapres.

Masuk akal, orang yg blm matang sangat beresiko untuk memimpin negara sebesar ini, sifat yg udah kelihatan yaitu mencla mencle ??????
#OrdeBaruReborn",turut survei dari charta politika periode 26-31 oktober gibran tak pantas jadi cawapres masuk akal orang yg blm matang sangat resiko untuk pimpin negara besar ini sifat yg udah lihat yaitu mencla mencle ordebarureborn,"menurut survei dari charta politika periode oktober gibran tak pantas jadi cawapres 

masuk akal orang yg blm matang sangat beresiko untuk memimpin negara sebesar ini sifat yg udah kelihatan yaitu mencla mencle 
",turut survei dari charta politika periode oktober gibran tak pantas jadi cawapres masuk akal orang yg blm matang sangat resiko untuk pimpin negara besar ini sifat yg udah lihat yaitu mencla mencle
11/7/2023,"Kasihan pak @prabowo dan mas @gibran_tweet punya timses yang justru simpati kepada penjajah...
Melupakan ajaran Bung Karno yang dengan tegas sampai akhir hayat beliau menolak mengakui Israel yang menjajah Palestina.",kasihan pak prabowo dan mas gibran tweet punya timses yang justru simpati kepada jajah lupa ajar bung karno yang dengan tegas sampai akhir hayat beliau tolak aku israel yang jajah palestina,"kasihan pak dan mas punya timses yang justru simpati kepada penjajah 
melupakan ajaran bung karno yang dengan tegas sampai akhir hayat beliau menolak mengakui israel yang menjajah palestina",kasihan pak dan mas punya timses yang justru simpati kepada jajah lupa ajar bung karno yang dengan tegas sampai akhir hayat beliau tolak aku israel yang jajah palestina
11/6/2023,"Maju tak gentar karna ada #ganjar
Tak perlu takut karna ada #mahfud
Jangan jadi penghianat seperti @jokowi @gibran_tweet 
@PDI_Perjuangan 
@PartaiGolkar",maju tak gentar karna ada ganjar tak perlu takut karna ada mahfud jangan jadi penghianat seperti jokowi gibran tweet pdi juang partaigolkar,"maju tak gentar karna ada 
tak perlu takut karna ada 
jangan jadi penghianat seperti 
 
",maju tak gentar karna ada tak perlu takut karna ada jangan jadi penghianat seperti
11/7/2023,"Yuk bisa yuk gaes..
Kita harus Optimis menangkan Ganjar mahfud 
satu putaran..

Gak usah gentar menghadapi lawan biarpun mereka gunakan alat negara untuk berkuasa.

Rakyat lihat rakyat tau mereka mengobok obok konstitusi dan merusak demokrasi.
#GanjarMahmud2024",yuk bisa yuk gaes kita harus optimis menang ganjar mahfud satu putar gak usah gentar hadap lawan biarpun mereka guna alat negara untuk kuasa rakyat lihat rakyat tau mereka kobok obok konstitusi dan rusak demokrasi ganjarmahmud2024,"yuk bisa yuk gaes 
kita harus optimis menangkan ganjar mahfud 
satu putaran 

gak usah gentar menghadapi lawan biarpun mereka gunakan alat negara untuk berkuasa 

rakyat lihat rakyat tau mereka mengobok obok konstitusi dan merusak demokrasi 
",yuk bisa yuk gaes kita harus optimis menang ganjar mahfud satu putar gak usah gentar hadap lawan biarpun mereka guna alat negara untuk kuasa rakyat lihat rakyat tau mereka kobok obok konstitusi dan rusak demokrasi
