text,clean_content,likes,replies,quotes,retweets,searchQuery,user_location,tanggal,dataset,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound_multi,vader_neg_multi,vader_neu_multi,vader_pos_multi,vader_sentiment_multi
"Cerita awal mula Pak Prabowo bertemu seorang profesor dan berhasil membuat mobil Maung yg jadi kebanggaan Indonesia.
#majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",cerita prabowo temu profesor hasil mobil maung yang bangga indonesia majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Keseruan Mas Dar di Rakorcab DPC Gerindra Kota Semarang #untukindonesia #indonesiaterusmaju #energibaru #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang,seru mas dar rakorcab dpc gerindra kota semarang untukindonesia indonesiaterusmaju energibaru semangatbaru majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Hallo bro, yuk #SaveIndonesia dg memilih #PrabowoGibran2024 

Memenangkan Rakyat melalui memenangkan #Prabowo #Gibran ???

Hilirisasi wajib lanjut sekalipun asing sangat membencinya dan berusaha menghentikan melalui Proxy War",hallo bro yuk saveindonesia dengan pilih prabowogibran menang rakyat menang prabowo gibran hilir wajib asing benci usaha henti proxy war,41,14,1,13,#gibran,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,-0.5994,0.17,0.83,0.0,Negative
Kado Gibran untuk pak Mahfud di Acara 13 Tahun Mata Najwa #indonesiaterusmaju #energibaru #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang,kado gibran mahfud acara mata najwa indonesiaterusmaju energibaru semangatbaru majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Prabowo dan Mas Gibran sangat enjoy ketika di bertemu dengan para Capres-Cawapres lain di Acara ""13 Tahun Mata Najwa""
#majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",prabowo mas gibran enjoy temu capres cawapres acara mata najwa majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Positive,"Sentiment(polarity=0.4, subjectivity=0.5, assessments=[(['enjoy'], 0.4, 0.5, None)])",0.4,0.5,0.4939,0.0,0.856,0.144,Positive
"Berikut ini elektabilitasnya:

@prabowo - @gibran_tweet  40,3%
@ganjarpranowo - @mohmahfudmd 28,6%
@aniesbaswedan  - @cakimiNOW 20,3%
TT/TJ 10,8%

#Projo #Jokowi #Gibran #Prabowo #PrabowoGibran #LSIDennyJA",elektabilitasnya prabowo gibran tweet ganjarpranowo mohmahfudmd aniesbaswedan cakiminow tt tj projo jokowi gibran prabowo prabowogibran lsidennyja,60,40,5,30,#gibran,"Jakarta Capital Region, Indone",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Plt. Dirjen Pendidikan, Tinggi, Riset dan Teknologi, Kemendikbud Ristek, Prof. Nizam menegaskan, Gibran sudah memiliki ijazah yang asli dari University of Bradford, Singapura. < #Gibran #Ijazah

kompas.com/edu/read/2023/11/ï¿½",plt dirjen didik tinggi riset teknologi kemendikbud ristek prof nizam tegas gibran milik ijazah asli university of bradford singapura gibran ijazah kompas com edu read,22,38,6,8,#gibran,Jakarta,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Gemoy..er,  Siap Menangkan @prabowo @gibran_tweet Satu Putaran.

#Projo #Jokowi #Gibran #Prabowo #PrabowoGibran",gemoy er menang prabowo gibran tweet putar projo jokowi gibran prabowo prabowogibran,125,86,7,27,#gibran,"Jakarta Capital Region, Indone",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Ingak Ingak tgl 20, logistik saatnya turun 

Oalah sakno 

GaS #PrabowoGibran2024 Menang 1 putaran ??

Militan NKRI yuk tambah GaS, menangkan Indonesia melalui memenangkan #Prabowo #Gibran MERDEKA ?",ingak ingak tanggal logistik turun oalah sakno gas prabowogibran menang putar militan nkri yuk gas menang indonesia menang prabowo gibran merdeka,4,1,0,1,#gibran,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Gibran beri kado kepada Mahfud MD....
#gibran #mahfud #prabowo #ganjar #promedia #ruangharian",gibran kado mahfud md gibran mahfud prabowo ganjar promedia ruangharian,0,0,0,0,#gibran,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Jelas dan Komprehensif banget!!! Penjelasan ini buat mereka yang suka koar-koar bungkam dan berpikir ulang. 

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #mahkamahkonstitusi #mkmk #fahrihamza #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",komprehensif banget jelas suka koar bungkam pikir ulang prabowo prabowosubianto gibran gibranrakabuming prabowogibran mahkamahkonstitusi mkmk fahrihamza indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,198,90,11,169,#gibran,"DKI Jakarta, Indonesia",11/19/2023,prabowogibran,2023-11-19,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Formula Eh apa kabar ? 
#politik #politikindonesia #sindiranpolitik #partaipolitik #pemilu #pdip #hanura #nasdem #golkar #gerindra #perindo #pan #gelora #ganjarpranowo #mahfudmd #prabowo #gibran #anies #cakimin #fyp #fyp #fyp",formula eh kabar politik politikindonesia sindiranpolitik partaipolitik milu pdip hanura nasdem golkar gerindra perindo pan gelora ganjarpranowo mahfudmd prabowo gibran anies cakimin fyp fyp fyp,1,0,0,0,#gibran,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Indonesia Maju @prabowo @gibran_rakabuming

#luhutbinsarpandjaitan #prabowo #gibran #pandawalimari #pandawa5sulbar",indonesia maju prabowo gibran rakabuming luhutbinsarpandjaitan prabowo gibran pandawalimari pandawa sulbar,0,0,0,0,#gibran,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Cawapres dari Koalisi Indonesia Maju Gibran Rakabuming Raka menghadiri acara Silaturahmi Nasional Desa Bersatu di Indonesia Arena, GBK, Jakarta, Minggu (19/11/2023). ~J #Gibran #PrabowoGibran #JernihMemilih #JernihkanHarapan",cawapres koalisi indonesia maju gibran rakabuming raka hadir acara silaturahmi nasional desa satu indonesia arena gbk jakarta minggu j gibran prabowogibran jernihmemilih jernihkanharapan,136,145,36,50,#gibran,Jakarta,11/19/2023,prabowogibran,2023-11-19,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Hati2, WABAH DEMAM #Prabowo melanda ?????

#PrabowoGibran2024 GaS Menang 1 putaran",hati wabah demam prabowo landa prabowogibran gas menang putar,118,49,5,30,#prabowo,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Satu persatu Menhan #Prabowo mendatangi pilot korban pesawat jatuh TNI AU

Pertama kali yg ditanyakan adalah kondisi anak2 serta memastikan masa depan setelah ayahnya berpulang

Kalian tidak sendiri, ayah @prabowo selalu ada untuk kalian 

Al Fatihah untuk almarhum",satu menhan prabowo pilot korban pesawat jatuh tni au kali yang kondisi anak ayah pulang sendiri ayah prabowo al fatihah almarhum,121,34,3,44,#prabowo,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Ini pasti banyak orang belum tahu!!! Kamu harus denger langsung dari Pak Prabowo Nih!!! 

#prabowo #prabowosubianto #kamuharustahu #sby #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",orang tahu denger langsung prabowo nih prabowo prabowosubianto kamuharustahu sby indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,50,1,0,15,#indonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Kinerja dan Program Pemerintah untuk kemajuan bangsa dan negara serta kesejahteraan masyarakat
#IndonesiaMaju #Jokowi #Presiden #Pemerintah #Program #Kebijakan",kerja program perintah maju bangsa negara sejahtera masyarakat indonesiamaju jokowi presiden perintah program bijak,1,0,0,0,#indonesiamaju,Sulawesi Utara,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pak Prabowo dan Mas Gibran Sudah Sehati!!! Ini Buktinya!!! 

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #gemes #sehati #matanajwa #najwashihab #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",prabowo mas gibran sehat bukti prabowo prabowosubianto gibran gibranrakabuming prabowogibran gemes sehat matanajwa najwashihab indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,29,2,0,9,#indonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Momen kedatangan ganjar di Papua langsung disambut oleh anak kecil meminta gendong.
#ganjarterbaikuntuknkri #indonesiamaju",momen datang ganjar papua langsung sambut anak gendong ganjarterbaikuntuknkri indonesiamaju,1,0,0,0,#indonesiamaju,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Ini sejumlah Larangan dalam kampanye sesuai UU Pemilu nomor 7 tahun 2017. Bisa dinilai paslon mana yang kira-kira terlihat miring.,larang kampanye sesuai uu milu nomor nilai paslon miring,1051,223,65,548,paslon,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Ya salah satu paslon yg di pilih tp bukan no 1. ..,ya salah paslon yang pilih tetapi nomor,0,1,0,0,paslon,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Kenapa kita sangat percaya Prabowo akan memenangkan Pilpres 2024? Sebab ada pengalaman 20 tahun kepemimpinan yang hari ini bersama Prabowo-Gibran.

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",percaya prabowo menang pilpres alam pimpin prabowo gibran prabowo prabowosubianto gibran gibranrakabuming prabowogibran indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,33,9,1,9,#indonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Hujan yang turun di Desa Mekar Jaya, Kecamatan Keluang, Kabupaten Musi Banyuasin (Muba), Sumatera Selatan, tidak mampu memadamkan semangat ribuan warga yang berkumpul untuk menyambut Calon Presiden Indonesia nomor urut 3 Ganjar Pranowo.

Masyarakat setempat begitu antusias menyambut kedatangan Ganjar Pranowo.

Ganjar sendiri menyampaikan rasa terima kasihnya atas sambutan hangat dari masyarakat Mekar Jaya. Ia menghargai kesabaran warga yang telah menunggu.

#SahabatGanjar",hujan turun desa mekar jaya camat keluang kabupaten mus banyuasin muba sumatera selatan madam semangat ribu warga kumpul sambut calon presiden indonesia nomor urut ganjar pranowo masyarakat antusias sambut datang ganjar pranowo ganjar terima kasih sambut hangat masyarakat mekar jaya harga sabar warga tunggu sahabatganjar,69,0,0,27,nomor urut,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Lima jam kemudian mereka menarik kesimpulan: TAK ADA PELANGGARAN krn tak ada ajakan pilih paslon. Gokil banget kan!?,jam tarik simpul langgar karena aja pilih paslon gokil banget kan,0,0,0,0,paslon,"Jakarta Capital Region, Indone",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Bagaimana Prabowo di Mata Presiden ke-6 Susilo Bambang Yudhoyono (SBY)? Simak penjelasan Pak SBY ini guys!!!

#prabowo #prabowosubianto #sby #susilobambangyudoyono #demokrat #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",prabowo mata presiden ke susilo bambang yudhoyono sby simak jelas sby guys prabowo prabowosubianto sby susilobambangyudoyono demokrat indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,30,2,0,15,#indonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Kehebatan Pak Prabowo yang sesungguhnya ada pada keikhlasannya. Simak lengkapnya kata Bang Fahri Hamzah

#prabowo #prabowosubianto #fahrihamza #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",hebat prabowo sungguh ikhlas simak lengkap bang fahri hamzah prabowo prabowosubianto fahrihamza indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,28,4,0,17,#indonesiamaju,"DKI Jakarta, Indonesia",11/19/2023,prabowogibran,2023-11-19,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Makin nyerang makin nyungsep paslon 3 ini,nyerang nyungsep paslon,0,1,0,0,paslon,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Senyumin aja ga tuh? Pak Prabowo makin keren dengan politik santun!!!

#prabowo #prabowosubianto #senyuminaja #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",senyumin saja tidak tuh prabowo keren politik santun prabowo prabowosubianto senyuminaja indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,66,4,2,26,#indonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Ternyata Mas Gibran Mengidolakan sosok Wapres ini lohh

#mendingprabowo #dekade08 #terusmajubersamaprabowo #PrabowoPresiden2024 #koalisiindonesiamaju #gerindra",mas gibran idola sosok wapres lohh mendingprabowo dekade terusmajubersamaprabowo prabowopresiden koalisiindonesiamaju gerindra,40,1,0,18,#koalisiindonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Sekarang semakin terbuka kalau dua paslon punya tujuan scenario drakor yang sudah lama dibuat bersama yi: ASAL BUKAN PASANGAN AMIN YANG MENANG.,buka paslon tuju scenario drakor yi pasang amin menang,1,0,0,0,paslon,Jakarta,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Emang boleh se-mirror selfie ini lengkap sama capres dan cawapres? Eh ada bonus Pak Bas sama Mas Wishnutama.

Terima kasih seluruh tamu undangan yang telah hadir di ï¿½13 Tahun Mata Najwa: Bergerak Bergerak Berdampakï¿½. Pertama kalinya ketiga paslon berdialog dalam satu panggung, suatu kehormatan untuk Mata Najwa.

| Mata Najwa",emang se mirror selfie lengkap capres cawapres eh bonus bas mas wishnutama terima kasih tamu undang hadir mata najwa gerak gerak dampak kali tiga paslon dialog panggung hormat mata najwa mata najwa,1877,99,23,193,paslon,"Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.5423,0.0,0.899,0.101,Positive
"Prabowo dan Mas Gibran sangat enjoy ketika di bertemu dengan para Capres-Cawapres lain

#mendingprabowo #dekade08 #terusmajubersamaprabowo #PrabowoPresiden2024 #koalisiindonesiamaju  #prabowogibran #matanajwa",prabowo mas gibran enjoy temu capres cawapres mendingprabowo dekade terusmajubersamaprabowo prabowopresiden koalisiindonesiamaju prabowogibran matanajwa,30,4,0,16,#koalisiindonesiamaju,"DKI Jakarta, Indonesia",11/20/2023,prabowogibran,2023-11-20,Positive,"Sentiment(polarity=0.4, subjectivity=0.5, assessments=[(['enjoy'], 0.4, 0.5, None)])",0.4,0.5,0.4939,0.0,0.802,0.198,Positive
"DEMOKRAT Bersama PRABOWO...,

#SBY #PRABOWO #AHY #Koalisiindonesiamaju #demokrat #prabowogibran2024",demokrat prabowo sby prabowo ahy koalisiindonesiamaju demokrat prabowogibran,0,1,0,0,#koalisiindonesiamaju,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Calon Presiden RI Nomor Urut 3, Ganjar Pranowo melaksanakan kunjungan khusus ke Manokwari Papua Barat,

#SahabatGanjar #GanjarPranowo #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua
#GanjarMahfud2024",calon presiden ri nomor urut ganjar pranowo laksana kunjung khusus manokwari papua barat sahabatganjar ganjarpranowo generasigotongroyong ganjarpresiden ganjaruntuksemua ganjarmahfud,30,1,0,12,nomor urut,Indonesia,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Calon Presiden nomor urut 3, Ganjar Pranowo mengadakan kunjungan ke Kampung Saukabu, Distrik Waigeo Barat Kepulauan, Kab. Raja Ampat, Provinsi Papua B... dlvr.it/Sz5YBp",calon presiden nomor urut ganjar pranowo ada kunjung kampung saukabu distrik waigeo barat pulau kab raja ampat provinsi papua b dlvr it sz ybp,0,0,0,0,nomor urut,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Semangat... Indonesia maju dan sejahtera bersama Paslon GANJAR MAHFUD,semangat indonesia maju sejahtera paslon ganjar mahfud,0,0,0,0,paslon,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
